"","ensembl_gene_id","Overall","hgnc_symbol"
"1","ENSG00000270207",0.500440899387254,""
"2","ENSG00000187715",0.369075814452777,"KBTBD12"
"3","ENSG00000014919",0.196019820185288,"COX15"
"4","ENSG00000223177",0.18078768417845,"RNA5SP39"
"5","ENSG00000270281",0.176668557961405,""
"6","ENSG00000235546",0.165117489894225,""
"7","ENSG00000165300",0.161167016441687,"SLITRK5"
"8","ENSG00000249532",0.147991237994195,"MIR302CHG"
"9","ENSG00000260588",0.139569634107031,""
"10","ENSG00000132207",0.133429438550811,"SLX1A"
"11","ENSG00000104365",0.124104592809033,"IKBKB"
"12","ENSG00000286981",0.118963374055012,""
"13","ENSG00000164976",0.116961632797106,"MYORG"
"14","ENSG00000226314",0.101044987998007,"ZKSCAN8P1"
"15","ENSG00000166863",0.0888747222159829,"TAC3"
"16","ENSG00000250361",0.083622189769095,"GYPB"
"17","ENSG00000146918",0.0818792767045256,"NCAPG2"
"18","ENSG00000273133",0.0729329566787857,""
"19","ENSG00000230310",0.0648467289419313,"LINC02926"
"20","ENSG00000104147",0.0627117191467242,"OIP5"
"21","ENSG00000277715",0.0529062099401118,""
"22","ENSG00000165533",0.0520082499289801,"TTC8"
"23","ENSG00000139044",0.0340382316495733,"B4GALNT3"
"24","ENSG00000214249",0.0338853957337475,"CTAGE11P"
"25","ENSG00000101489",0.0254013800760771,"CELF4"
"26","ENSG00000102678",0.0250567537240202,"FGF9"
"27","ENSG00000224490",0.0209980164728062,"TTC21B-AS1"
"28","ENSG00000231881",0.0203135512917767,""
"29","ENSG00000204576",0.0112657520087871,"PRR3"
"30","ENSG00000270885",0.00507925042697882,"RASL10B"
"31","ENSG00000066926",0.00418950053508653,"FECH"
"32","ENSG00000154309",0.00322847430910559,"DISP1"
"33","ENSG00000172995",0.00312590275123426,"ARPP21"
